"PVWatts Hourly PV Performance Data"
"Requested Location","Toronto"
"Location","Lat, Lng: 43.65, -79.38"
"Latitude (DD)","43.65"
"Longitude (DD)","-79.38"
"Elevation (m)","93.199996948242"
"DC System Size (kW)","200"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"12","12","14","0","84","1","9.4","0.87","82.689","1.806","14640.694","13329.203"
"12","12","15","0","42","1","8.7","0.87","40.389","1.415","6823.903","5789.393"
"12","12","16","0","0","0","7.9","0.87","0","0","0","0"
"12","12","17","0","0","0","7.3","0.87","0","0","0","0"
"12","12","18","0","0","0","6.9","0.87","0","0","0","0"
"12","12","19","0","0","0","6.6","0.87","0","0","0","0"
"12","12","20","0","0","0","6.4","0.87","0","0","0","0"
"12","12","21","0","0","0","6.3","0.87","0","0","0","0"
"12","12","22","0","0","0","6.2","0.87","0","0","0","0"
"12","12","23","0","0","0","6.2","0.87","0","0","0","0"
"12","13","0","0","0","0","6.3","0.87","0","0","0","0"
"12","13","1","0","0","0","6.7","0.87","0","0","0","0"
"12","13","2","0","0","-1","6.9","0.87","0","-1","0","0"
"12","13","3","0","0","-1","6.8","0.87","0","-1","0","0"
"12","13","4","0","0","-2","6.4","0.87","0","-2","0","0"
"12","13","5","0","0","-2","5.8","0.87","0","-2","0","0"
"12","13","6","0","0","-2","5.4","0.87","0","-2","0","0"
"12","13","7","0","0","-1","6","0.87","0","-1","0","0"
"12","13","8","120","43","0","7.2","0.87","90.632","1.047","14689.533","13376.312"
"12","13","9","223","102","0","8","0.87","233.813","2.576","42977.393","40661.821"
"12","13","10","373","114","0","8.4","0.87","372.5","3.972","69616.204","66356.713"
"12","13","11","104","162","0","8.4","0.87","254.909","2.709","46907.283","44452.459"
"12","13","12","50","159","0","8.3","0.87","205.454","2.201","37518.661","35396.514"
"12","13","13","44","149","0","7.9","0.87","189.626","2.107","34606.313","32587.362"
"12","13","14","32","111","0","7.4","0.87","137.51","1.601","24897.59","23222.657"
"12","13","15","10","58","0","7.1","0.87","63.145","0.752","10872.364","9694.4"
"12","13","16","0","0","0","7.2","0.87","0","0","0","0"
"12","13","17","0","0","0","7.5","0.87","0","0","0","0"
"12","13","18","0","0","-1","7.9","0.87","0","-1","0","0"
"12","13","19","0","0","-1","8.2","0.87","0","-1","0","0"
"12","13","20","0","0","-2","8.4","0.87","0","-2","0","0"
"12","13","21","0","0","-2","8.4","0.87","0","-2","0","0"
"12","13","22","0","0","-3","8.2","0.87","0","-3","0","0"
"12","13","23","0","0","-4","7.8","0.87","0","-4","0","0"
"12","14","0","0","0","-5","7.2","0.87","0","-5","0","0"
"12","14","1","0","0","-5","6.8","0.87","0","-5","0","0"
"12","14","2","0","0","-5","6.7","0.87","0","-5","0","0"
"12","14","3","0","0","-6","7","0.87","0","-6","0","0"
"12","14","4","0","0","-6","7.5","0.87","0","-6","0","0"
"12","14","5","0","0","-6","7.8","0.87","0","-6","0","0"
"12","14","6","0","0","-6","8.1","0.87","0","-6","0","0"
"12","14","7","0","0","-6","8.5","0.87","0","-6","0","0"
"12","14","8","449","36","-6","9","0.87","173.389","-4.314","28417.393","26617.739"
"12","14","9","707","61","-5","9.6","0.87","427.557","-0.883","81008.49","77345.325"
"12","14","10","816","75","-4","10.1","0.87","594.454","1.522","113267.308","108461.084"
"12","14","11","852","84","-3","10.7","0.87","686.966","3.097","129903.675","124507.959"
"12","14","12","406","138","-3","11.2","0.87","454.025","0.88","85780.521","81948.264"
"12","14","13","770","94","-3","11.4","0.87","620.43","2.238","117704.606","112741.151"
"12","14","14","652","87","-3","11.4","0.87","467.661","0.948","88959.446","85014.547"
"12","14","15","453","61","-3","11.3","0.87","258.924","-0.832","46365.803","43930.166"
"12","14","16","0","0","-4","11.1","0.87","0","0","0","0"
"12","14","17","0","0","-4","10.9","0.87","0","-4","0","0"
"12","14","18","0","0","-4","10.5","0.87","0","-4","0","0"
"12","14","19","0","0","-4","10.1","0.87","0","-4","0","0"
"12","14","20","0","0","-5","9.8","0.87","0","-5","0","0"
"12","14","21","0","0","-5","9.8","0.87","0","-5","0","0"
"12","14","22","0","0","-6","10","0.87","0","-6","0","0"
"12","14","23","0","0","-6","10.3","0.87","0","-6","0","0"
"12","15","0","0","0","-6","10.4","0.87","0","-6","0","0"
"12","15","1","0","0","-6","10.6","0.87","0","-6","0","0"
"12","15","2","0","0","-7","10.7","0.87","0","-7","0","0"
"12","15","3","0","0","-7","10.6","0.87","0","-7","0","0"
"12","15","4","0","0","-7","10.5","0.87","0","-7","0","0"
"12","15","5","0","0","-7","10.4","0.87","0","-7","0","0"
"12","15","6","0","0","-7","9.9","0.87","0","-7","0","0"
"12","15","7","0","0","-7","9.5","0.87","0","-7","0","0"
"12","15","8","64","42","-7","9.7","0.87","69.298","-6.358","11429.628","10231.918"
"12","15","9","217","95","-6","10.2","0.87","221.466","-3.969","41579.219","39313.189"
"12","15","10","337","118","-6","11","0.87","354.394","-2.927","67719.95","64527.65"
"12","15","11","143","162","-6","12.1","0.87","281.142","-3.746","53150.529","50474.482"
"12","15","12","405","137","-6","12.9","0.87","452.013","-2.552","86406.382","82551.948"
"12","15","13","236","155","-6","13.2","0.87","337.67","-3.474","64285.717","61215.106"
"12","15","14","174","123","-6","13","0.87","236.819","-4.207","44832.683","42451.37"
"12","15","15","84","69","-6","12.2","0.87","115.983","-5.085","20784.911","19255.707"
"12","15","16","0","0","-5","10.8","0.87","0","0","0","0"
"12","15","17","0","0","-5","9.3","0.87","0","-5","0","0"
"12","15","18","0","0","-5","8","0.87","0","-5","0","0"
"12","15","19","0","0","-5","7","0.87","0","-5","0","0"
"12","15","20","0","0","-6","6.1","0.87","0","-6","0","0"
"12","15","21","0","0","-6","5.5","0.87","0","-6","0","0"
"12","15","22","0","0","-6","5.3","0.87","0","-6","0","0"
"12","15","23","0","0","-6","5.5","0.87","0","-6","0","0"
"12","16","0","0","0","-6","6.1","0.87","0","-6","0","0"
"12","16","1","0","0","-6","6.8","0.87","0","-6","0","0"
"12","16","2","0","0","-6","7.2","0.87","0","-6","0","0"
"12","16","3","0","0","-6","7.2","0.87","0","-6","0","0"
"12","16","4","0","0","-6","7.3","0.87","0","-6","0","0"
"12","16","5","0","0","-6","7.5","0.87","0","-6","0","0"
"12","16","6","0","0","-6","7.8","0.87","0","-6","0","0"
"12","16","7","0","0","-6","7.8","0.87","0","-6","0","0"
"12","16","8","250","36","-5","7.5","0.87","118.827","-3.679","19206.863","17733.575"
"12","16","9","448","69","-4","7.2","0.87","309.525","-0.317","58040.95","55191.616"
"12","16","10","537","88","-4","7","0.87","442.921","1.393","84035.627","80265.198"
"12","16","11","250","154","-3","7","0.87","352.666","1.283","66074.446","62940.453"
"12","16","12","201","163","-3","7","0.87","323.365","0.925","60433.355","57499.248"
"12","16","13","379","132","-3","6.7","0.87","410.477","2.147","77211.875","73683.239"
"12","16","14","324","105","-3","6.1","0.87","310.448","1.151","58328.01","55468.504"
"12","16","15","204","65","-3","5.2","0.87","163.235","-0.607","28984.676","27164.921"
"12","16","16","0","0","-3","4.6","0.87","0","0","0","0"
"12","16","17","0","0","-3","4.7","0.87","0","-3","0","0"
"12","16","18","0","0","-3","5","0.87","0","-3","0","0"
"12","16","19","0","0","-3","5.2","0.87","0","-3","0","0"
"12","16","20","0","0","-3","5.3","0.87","0","-3","0","0"
"12","16","21","0","0","-3","5.5","0.87","0","-3","0","0"
"12","16","22","0","0","-3","5.6","0.87","0","-3","0","0"
"12","16","23","0","0","-3","5.8","0.87","0","-3","0","0"
"12","17","0","0","0","-3","5.6","0.87","0","-3","0","0"
"12","17","1","0","0","-2","5.6","0.87","0","-2","0","0"
"12","17","2","0","0","-2","5.9","0.87","0","-2","0","0"
"12","17","3","0","0","-2","6.1","0.87","0","-2","0","0"
"12","17","4","0","0","-2","6.2","0.87","0","-2","0","0"
"12","17","5","0","0","-2","6","0.87","0","-2","0","0"
"12","17","6","0","0","-2","5.6","0.87","0","-2","0","0"
"12","17","7","0","0","-1","5.3","0.87","0","-1","0","0"
"12","17","8","0","14","0","5","0.87","13.187","0.195","1998.081","1134.569"
"12","17","9","0","47","0","4.9","0.87","44.378","0.68","7678.282","6613.498"
"12","17","10","0","75","0","4.8","0.87","71.764","1.115","12680.038","11438.021"
"12","17","11","0","74","1","4.7","0.87","70.05","2.102","12294.32","11065.971"
"12","17","12","0","66","2","4.5","0.87","62.362","3.007","10853.156","9675.873"
"12","17","13","0","58","2","4","0.87","54.781","2.949","9504.847","8375.34"
"12","17","14","0","42","2","3.3","0.87","39.634","2.764","6798.414","5764.807"
"12","17","15","0","21","2","2.8","0.87","19.789","2.412","3236.679","2329.278"
"12","17","16","0","0","1","2.6","0.87","0","0","0","0"
"12","17","17","0","0","1","2.4","0.87","0","1","0","0"
"12","17","18","0","0","0","2.7","0.87","0","0","0","0"
"12","17","19","0","0","0","3.3","0.87","0","0","0","0"
"12","17","20","0","0","0","3.6","0.87","0","0","0","0"
"12","17","21","0","0","0","3.4","0.87","0","0","0","0"
"12","17","22","0","0","0","3.4","0.87","0","0","0","0"
"12","17","23","0","0","0","4.1","0.87","0","0","0","0"
"12","18","0","0","0","0","4.6","0.87","0","0","0","0"
"12","18","1","0","0","0","4.4","0.87","0","0","0","0"
"12","18","2","0","0","-1","4.3","0.87","0","-1","0","0"
"12","18","3","0","0","-1","4.6","0.87","0","-1","0","0"
"12","18","4","0","0","-1","5","0.87","0","-1","0","0"
"12","18","5","0","0","-1","5.3","0.87","0","-1","0","0"
"12","18","6","0","0","-1","6.3","0.87","0","-1","0","0"
"12","18","7","0","0","-1","8","0.87","0","-1","0","0"
"12","18","8","141","47","-2","9","0.87","100.637","-1.021","16074.625","14712.325"
"12","18","9","481","91","-3","9.1","0.87","347.676","0.482","65035.219","61938.05"
"12","18","10","684","101","-4","9","0.87","543.48","1.51","103315.664","98862.066"
"12","18","11","771","106","-4","9.1","0.87","658.881","2.622","124654.709","119444.985"
"12","18","12","800","103","-4","9.2","0.87","686.744","2.845","129780.338","124388.992"
